/home/srs9969/.local/lib/python3.6/site-packages/torchvision/io/image.py:11: UserWarning: Failed to load image Python extension: /home/srs9969/.local/lib/python3.6/site-packages/torchvision/image.so: undefined symbol: _ZNK3c106IValue23reportToTensorTypeErrorEv
  warn(f"Failed to load image Python extension: {e}")
Train Epoch: 1 [0/1024 (0%)]	Loss: 2.321576
Train Epoch: 1 [600/1024 (56%)]	Loss: 1.536628
==PROF== Target process 9263 terminated before first instrumented API call.
==PROF== Target process 9264 terminated before first instrumented API call.
==PROF== Connected to process 9261 (/usr/libexec/platform-python3.6)
==PROF== Disconnected from process 9261
==PROF== Target process 9275 terminated before first instrumented API call.
"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device Id","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"9261","platform-python3.6","127.0.0.1","void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)","64","576","0","1","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0.000000","0.000000","0.000000"
"9261","platform-python3.6","127.0.0.1","void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)","64","576","0","1","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","147456.000000","147456.000000","147456.000000"
"9261","platform-python3.6","127.0.0.1","void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)","64","576","0","1","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0.000000","0.000000","0.000000"
"9261","platform-python3.6","127.0.0.1","void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)","64","8640","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0.000000","0.000000","0.000000"
"9261","platform-python3.6","127.0.0.1","void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)","64","8640","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","2211840.000000","2211840.000000","2211840.000000"
"9261","platform-python3.6","127.0.0.1","void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)","64","8640","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0.000000","0.000000","0.000000"
"9261","platform-python3.6","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)","128","16","0","1","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","8192.000000","8192.000000","8192.000000"
"9261","platform-python3.6","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)","128","16","0","1","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","49152.000000","49152.000000","49152.000000"
"9261","platform-python3.6","127.0.0.1","void cudnn::winograd::generateWinogradTilesKernel<0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)","128","16","0","1","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","12288.000000","12288.000000","12288.000000"
"9261","platform-python3.6","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)","256","512","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","6193152.000000","6193152.000000","6193152.000000"
"9261","platform-python3.6","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)","256","512","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","4423680.000000","4423680.000000","4423680.000000"
"9261","platform-python3.6","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)","256","512","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","2654208.000000","2654208.000000","2654208.000000"
"9261","platform-python3.6","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<float, float>)","256","8","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","55296.000000","55296.000000","55296.000000"
"9261","platform-python3.6","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<float, float>)","256","8","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","55296.000000","55296.000000","55296.000000"
"9261","platform-python3.6","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<float, float>)","256","8","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0.000000","0.000000","0.000000"
"9261","platform-python3.6","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)","256","1024","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","16367616.000000","16367616.000000","16367616.000000"
"9261","platform-python3.6","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)","256","1024","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","16891904.000000","16891904.000000","16891904.000000"
"9261","platform-python3.6","127.0.0.1","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)","256","1024","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","11157504.000000","11157504.000000","11157504.000000"
"9261","platform-python3.6","127.0.0.1","volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","256","48","0","1","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","2654208.000000","2654208.000000","2654208.000000"
"9261","platform-python3.6","127.0.0.1","volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","256","48","0","1","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","25853952.000000","25853952.000000","25853952.000000"
"9261","platform-python3.6","127.0.0.1","volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","256","48","0","1","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0.000000","0.000000","0.000000"
"9261","platform-python3.6","127.0.0.1","volta_sgemm_128x64_nn","128","648","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0.000000","0.000000","0.000000"
"9261","platform-python3.6","127.0.0.1","volta_sgemm_128x64_nn","128","648","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","169869312.000000","169869312.000000","169869312.000000"
"9261","platform-python3.6","127.0.0.1","volta_sgemm_128x64_nn","128","648","0","17","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","5308416.000000","5308416.000000","5308416.000000"
